Date,Temp_Max,Temp_Min,Temp_Avg,Temp_Departure,HDD,CDD,Prec,New_Snow_,Snow_Dept,FID
2020/09/03 00:00:00+00,107,86,96.5,4.6,0,32,0,0,0,285
2020/02/11 00:00:00+00,60,47,53.5,-5.6,11,0,0.24,M,M,286
2020/09/04 00:00:00+00,114,84,99,7.3,0,34,0,0,0,287
2020/02/12 00:00:00+00,64,43,53.5,-5.7,11,0,0,M,M,288
2020/09/05 00:00:00+00,115,88,101.5,10,0,37,0,0,0,289
2020/10/19 00:00:00+00,97,66,81.5,6.1,0,17,0,0,0,290
2020/07/06 00:00:00+00,111,83,97,2.2,0,32,0,0,0,291
2020/02/13 00:00:00+00,68,43,55.5,-3.8,9,0,0,M,M,292
2020/09/06 00:00:00+00,113,89,101,9.7,0,36,0,0,0,293
2020/10/20 00:00:00+00,97,67,82,7,0,17,0,0,0,294
2020/07/07 00:00:00+00,111,84,97.5,2.7,0,33,0,0,0,295
2020/02/14 00:00:00+00,72,48,60,0.5,5,0,0,M,M,296
2020/09/07 00:00:00+00,109,85,97,5.9,0,32,0,0,0,297
2020/09/08 00:00:00+00,99,80,89.5,-1.4,0,25,0,0,0,298
2020/09/09 00:00:00+00,90,70,80,-10.6,0,15,0,0,0,299
2020/09/10 00:00:00+00,93,69,81,-9.4,0,16,0,0,0,300
2020/09/11 00:00:00+00,93,72,82.5,-7.6,0,18,0,0,0,301
2020/09/12 00:00:00+00,99,72,85.5,-4.3,0,21,0,0,0,302
2020/09/13 00:00:00+00,103,74,88.5,-1,0,24,0,0,0,303
2020/09/14 00:00:00+00,105,77,91,1.8,0,26,0,0,0,304
2020/09/15 00:00:00+00,105,80,92.5,3.6,0,28,0,0,0,305
2020/09/16 00:00:00+00,109,78,93.5,4.9,0,29,0,0,0,306
2020/09/17 00:00:00+00,109,77,93,4.8,0,28,0,0,0,307
2020/09/18 00:00:00+00,107,80,93.5,5.6,0,29,0,0,0,308
2020/09/19 00:00:00+00,104,82,93,5.5,0,28,0,0,0,309
2020/09/20 00:00:00+00,106,78,92,4.9,0,27,0,0,0,310
2020/09/21 00:00:00+00,103,81,92,5.2,0,27,0,0,0,311
2020/10/21 00:00:00+00,97,67,82,7.4,0,17,0,0,0,312
2020/10/22 00:00:00+00,94,67,80.5,6.3,0,16,0,0,0,313
2020/10/23 00:00:00+00,94,69,81.5,7.7,0,17,0,0,0,314
2020/10/24 00:00:00+00,87,70,78.5,5,0,14,0,0,0,315
2020/10/25 00:00:00+00,88,69,78.5,5.4,0,14,0,0,0,316
2020/10/26 00:00:00+00,73,54,63.5,-9.2,1,0,0,0,0,317
2020/10/27 00:00:00+00,68,50,59,-13.3,6,0,0,0,0,318
2020/10/28 00:00:00+00,70,48,59,-12.9,6,0,0,0,0,319
2020/10/29 00:00:00+00,85,53,69,-2.5,0,4,0,0,0,320
2020/10/30 00:00:00+00,87,60,73.5,2.4,0,9,0,0,0,321
2020/10/31 00:00:00+00,86,61,73.5,2.8,0,9,0,0,0,322
2020/11/01 00:00:00+00,96,64,80,9.8,0,15,0,0,0,323
2020/11/02 00:00:00+00,95,68,81.5,11.7,0,17,0,0,0,324
2020/11/03 00:00:00+00,93,68,80.5,11.1,0,16,0,0,0,325
2020/11/04 00:00:00+00,93,64,78.5,9.5,0,14,0,0,0,326
2020/11/05 00:00:00+00,99,62,80.5,11.9,0,16,0,0,0,327
2020/11/06 00:00:00+00,89,72,80.5,12.3,0,16,0,0,0,328
2020/11/07 00:00:00+00,81,59,70,2.3,0,5,T,0,0,329
2020/11/08 00:00:00+00,67,52,59.5,-7.8,5,0,0,0,0,330
2020/02/15 00:00:00+00,73,46,59.5,-0.1,5,0,0,0,0,331
2020/11/09 00:00:00+00,62,50,56,-10.9,9,0,T,0,0,332
2020/07/08 00:00:00+00,111,90,100.5,5.6,0,36,0,0,0,333
2020/02/16 00:00:00+00,74,46,60,0.2,5,0,0,0,0,334
2020/11/10 00:00:00+00,67,45,56,-10.4,9,0,0,0,0,335
2020/07/09 00:00:00+00,110,90,100,5,0,35,0,0,0,336
2020/02/17 00:00:00+00,76,49,62.5,2.5,2,0,0,0,0,337
2020/11/11 00:00:00+00,71,44,57.5,-8.5,7,0,0,0,0,338
2020/07/10 00:00:00+00,111,91,101,6,0,36,0,0,0,339
2020/02/18 00:00:00+00,79,51,65,4.9,0,0,0,0,M,340
2020/11/12 00:00:00+00,73,49,61,-4.6,4,0,0,0,0,341
2020/07/11 00:00:00+00,115,94,104.5,9.5,0,40,0,0,0,342
2020/02/19 00:00:00+00,79,53,66,5.7,0,1,0,0,0,343
2020/11/13 00:00:00+00,77,50,63.5,-1.6,1,0,0,0,0,344
2020/07/12 00:00:00+00,116,93,104.5,9.4,0,40,0,0,M,345
2020/02/20 00:00:00+00,82,51,66.5,6,0,2,0,0,M,346
2020/07/13 00:00:00+00,114,93,103.5,8.4,0,39,0,0,0,347
2020/02/21 00:00:00+00,77,62,69.5,8.9,0,5,0,0,M,348
2020/07/14 00:00:00+00,111,90,100.5,5.4,0,36,0,0,0,349
